用語名,解説
クリスタル・フロンティア,"このカードゲームの名前。Crystal Frontier。略称：クリフロ。
プレイヤーはアダマスター（結晶師）となって、結晶に封印された英雄や魔物、魔法の力などを駆使して戦う。"
あなた,あなたのこと。
対戦相手,対戦相手のこと。あなた以外の、ゲームに参加しているプレイヤー。
プレイヤー,"ゲームに参加しているすべての人。あなたと対戦相手はどちらもプレイヤーである。
テキストで「プレイヤー」が示されている場合、それはあなたと対戦相手のどちらもが含まれる。"
チェイン,"すべてのカードや効果は、一部の例外を除きここにいったん移動し、解決を待つ。
ユニットは召喚を宣言、それ以外のカードは発動を宣言、能力は起動を宣言した時点で一旦チェインに移動し、すべてのプレイヤーが続けて優先権をパスしたとき、チェインの一番上のカードや効果は解決される。"
ライフ,それぞれのプレイヤーが持つ点数。初期ライフ１００００点からゲームを開始し、ライフが０点になったプレイヤーはゲームに敗北する。
色,"色とは、「赤」、「緑」「青」、「白」、「黒」の５色である。
このゲームにはその他の色は存在しない。
この５つの色には、それぞれが持つ雰囲気に応じたメカニズムが配分され（色の役割）、ゲーム性やフレーバーに深みを与える。
カードの色は、コアコストに含まれるコア・マークの色によって決まる。コア・マークを２色以上含む場合は、そのマークに含まれる色すべてを含む。"
多色,"色を２つ以上持つこと。
複数の色を持っているカードは『多色カード』として扱われる。
結晶ゾーンに置くと、複数の色のコアを使い分ける事ができる。
プレイが難しい分、スペックは単色よりも高めに設定されることが多い。
また、複数の色のコアを出せる代わりに、「結晶ゾーンに置く時には、疲労状態で置かなければならない」。"
コア,"コアは、通常は結晶ゾーンにある結晶を疲労させることで生み出すことができる。
ただし、結晶として置いた際にコア生成能力を持たないカードも一部存在する。（エクシード・カード。）
また、カードの効果や能力などによって生み出されることもある。
例：コアを生み出す効果は「(赤)をコア・プールに加える。」などと記述される。
生み出したコアはコア・プールに加えられ、コストを支払うために即座に使うことも、後で使うためにコア・プールに残したままにしておくこともできる。
使われなかったコアは通常、エンドフェイズのリフレッシュステップに失われる。
コアには、赤コア(赤)、緑コア(緑)、青コア(青)、白コア(白)、黒コア(黒)の各種色コアと、無色コア(◇)がある。
コアのタイプとは、その5色（白・青・黒・赤・緑）および無色の6種類のことをいう。
コア・プールに加えられたコアで、コアコストや、他のコア・シンボルで表されたコストを支払うことができる。
色がついたコア・マークは、色がついたコアのコストを表す。これはその色のコアによってのみ支払うことができる。
(1)、(2)、(3)などの数字や(X)のコア・マークは、不特定コアコストを表す。
これらはどの色のコアで支払っても構わない。
たとえば、コストが「(2)(赤)(緑)」と表記されていたら、好きなタイプのコア２点と、赤コア１点と、緑コア１点とで支払えることを示している。"
コア・プール,"効果によってコアが生み出されたとき、コアはそのプレイヤーのコア・プールに入る。そこから、カードや能力のコスト支払いのために使うことができる。
コアは即座に使うことも、また後で使うためにコア・プールに蓄えておくこともできる。使われなかったリフレッシュ・ステップに失われる。"
X、または、(X),"カードや起動能力のコスト（コアコスト、代替コスト、追加コスト、起動コスト）に「X」が含まれ、それが定義されてない場合、その値はそれを発動/起動する時に決定する。
(X)コストは０から支払うことができ、上限はない。
具体的には、チェインに乗せたあとの時点で決定する。
これは対象の決定やコストの支払いより前である。
その呪文や能力がチェイン上にある限り、Xは決定された値を持つ。
カードの発動やユニットの召喚の際、コア総量にはXの値が加味される。
(X)の部分は特に指定がない限り不特定コアコストになる。
コストを減少させる効果でXの部分のコストも減少させることができる。
正確に言えば、指定したXの値に応じてコストが決定され、コストを減少させる効果はその全体からコストを減少させる。
（例：(X)(赤)のコアコストを持つカードをX=2で発動すると、コアコストは(2)(赤)になり、そこからコスト(1)を減少させるなら、支払うコストは(1)(赤)となる。）
あくまでも先にXの値を指定することによって、それに応じてコストが定まるということに注意。
支払ったコアの量によってXが定まるわけではない。"
エクシード,"エクシード・カードとは、コア生成能力を持たないカードのことである。
すべてのカードにはその下部に上下逆さまの数字が記載されており、基本的には「１」と書かれているが、エクシードであるカードはそこに「０」と記載されている。
エクシードであるカードは結晶ゾーンに結晶として置くことはできるが、疲労させてもコアを生み出さない。（正確には、０コストを生成する。）"
トークン,トークンとは、カードの代わりになるもののこと。トークンは基本的にバトルゾーンにのみ存在できる。バトルゾーン以外の領域にある場合、状況起因処理により消滅する
場在カード,"場在カードは場にあるカードとトークンの総称。
場にあるカードやトークン（すなわち、ユニット、エフェクト、オルガノン、コア）は、場在カードと呼ばれる。
カードやトークンは場に出たときに場在カードとなり、場から他の領域に移動したときに場在カードではなくなる。"
召喚,"ユニットを「手札から」バトルゾーンに置く事。
墓地やデッキからユニットをバトルゾーンに置く事は、召喚とは言わない。召喚時に発動する効果は、墓地やデッキから置いた時には発動しない。
召喚はカードを「置く」事に含まれる。"
発動,手札や墓地からカードを使用する事。
効果,"マジックやフラッシュや能力によって発生する、ゲームに影響を与えるもの。
ルールに反するような効果については、ルールよりもカードに書かれた効果を優先する。"
能力,"能力とは場在カードが持つ、ゲームに影響を与えるもの。
能力は起動能力、誘発能力、常駐能力の３種類に分類される。能力は効果を発生させる。
マジックやフラッシュはカードの発動と同時に発生する効果であり、能力ではなく、能力の分類にも当てはまらない、。"
起動能力,"起動能力とは、場在カードが持つ、任意で起動できる能力。
起動能力によってタイミングに指定がない限り、フラッシュと同じタイミングで起動できる。
起動能力はコストを支払える限り何度でも起動できる。コストの続く限り同ターンでの連続使用も可能。
通常、「[コスト]：効果を発生させる能力」と記載される。
起動能力を持つユニットが状況起因処理により登場後即座に死亡する場合、起動能力を起動するタイミングは無い"
誘発能力,"誘発能力は、場在カードが持つ、特定の条件を満たすたびに誘発される能力。
通常、「[～～時/～～たび]：効果を発生させる能力」と記載される。
誘発能力をチェインに置くまでの流れは、登場した時」の能力が誘発→状況起因処理をチェック→状況起因処理で死亡したので「死亡した時」の能力が誘発→誘発していた各能力をチェインに置きアクティブ・プレイヤーが優先権を得る、となる。誘発した順番は登場時誘発能力→死亡時誘発能力だが、どちらを先にチェインに置いてもよい。"
常駐能力,常駐能力とは、ただ「存在する」ことで継続的に効果を発生させる能力。常駐能力はチェインされない。
活性化,"場に縦向きに置かれているカードの状態。活性状態とも言う。
特に指定のないかぎり、すべての場在カードは活性状態で場に置く。"
疲労,"場に横向きに置かれているカードの状態。疲労状態とも言う。
コアコストを支払う時や、攻撃する時や、カードの効果や能力によって疲労する。"
消失,"消失状態となった場在カードは場に存在していないかのように扱われる。
これには、その場在カードについているエンチャントや置かれているカウンターなどの状態も含まれる。
消失状態の場在カードは、持続的な消失効果で消失したので無い限り、そのコントローラーのターンの開始時に非消失状態へ戻る。
消失は場を離れることに含まれない。
場在カードは通常、非消失状態で場に置かれる。"
消失状態から帰還する,"消失状態のカードが、消失状態ではなくなること。消失のために作られた用語。
消失状態のカードが帰還することは、カードを場に置くことには当てはまらない。
前のターンからコントロールしていて消失状態から帰還したユニットは、召喚酔いの影響を受けない。
ターン開始時にコントロール下になく、消失し消失から帰還したユニットは、召喚酔いの影響を受ける。"
コスト,"コストとは、他の処理を行う為、あるいは他の処理を妨げるために必要な処理や支払いのこと。
コストは効果や能力ではない。ユニットの召喚やカードの発動や能力が無効にされたとしても、支払ったコストは戻ってこない。
カードを発動したり、発動型効果を発動したりするためにはコストを支払う必要がある。"
コアコスト,"コアコストは、カードの右上に記されている、コア・マークによって示されるコスト。そのカードを召喚・発動する為に支払うべきコアの量や種類を表す。
カードをプレイ時は、そのカードのコアコストに含まれるすべてのコア・マークについて、それが表すコストを正しく支払わなければならない。
(X)(1)(2)...これらの数字のコア･マークがコストに書かれている場合、それは「色を問わないその点数分のコア」を意味します。例えば、コストの(2)は、(赤)と(緑)、(青)と(青)、(赤)と無色のコア１点等、任意のコア２点で支払うことができることを意味します。"
(T)（疲労コスト）,"活性状態のこのカードを疲労状態にする。疲労コスト。
攻撃すると疲労する為、「攻撃」or「疲労コストの支払い」は二者択一。
ターンの開始時にあなたのコントロール下になかったユニットは、次の相手のターンが終わるまで、攻撃できず、起動コストに疲労コストを含む起動能力も起動できない（召喚酔い）。"
コア総量,"そのカードを召喚／発動する為に必要なコアコストの総量。たとえば(1)(赤)(赤)ならコア総量は３。
コアコストに{X}を含むカードーを召喚/発動した場合、そのカードのコア総量は宣言したＸの値を含む値なります。たとえば(X)(赤)(赤)で(X)＝2を宣言したらコア総量は４。
また、場在カードではないカードのコア総量を参照する場合、Xは０と見なす。"
死亡する,"破壊や生け贄を含め、「場にあったカードが墓地に移動する」事の全てを「死亡する」と言う。
マイナス変動を受けた場合など、破壊でもなく生け贄でもなく死亡する場合もある。例：ＨＰ１のユニットが－０/－５００の変動を受けるなど。"
持ち主,そのカードの元々の持ち主。
コントローラー,現在そのカードを自分のもののように扱っているプレイヤー。
コントロール,"あなたは、自分が場に置いたカードや発動したカードをコントロールしている。
ただし、相手がカードの効果を使って、あなたのカードのコントロールを得ることがある。
その場合、相手がそれを使い、あなたはそれを使えない。
バトルゾーンを離れたりゲームが終わったりした場合、それはあなたに戻される。"
これ,このカード。
それ,"その前のテキストで指定したもののこと。
例：カード１枚を対象とする。それを破壊する。ここでいう「それ」とはカード１枚のこと。"
変動,「＋Ｘ/＋Ｙの変動を受ける」とは、そのユニットのＡＴＫにＸを加え、ＨＰにＹを加えるという意味。マイナスが含まれる場合も同様。
対象,"カードの発動や能力が影響を及ぼす、事前に選択されたカードやプレイヤーのこと。
ルール用語として一般的な意味と異なる特別な意味を持つ。
カードを対象を指定する時は、特別記載のない限り、場にあるカードのみを対象にする事ができる。"
置く,カードを場に移動させる事。特別記載のない限り、原則として活性状態で置かれる。
戻す,"カードを持ち主の領域から持ち主の領域へ移動させる時に使用する場合がある。場に「戻す」ことは「置く」ことに含まれる。
カードが「墓地から手札またはデッキに」「手札からデッキに」のいずれかの移動をした時に用いられる。
「置く」と「戻す」はルール上の違いはない。「バトルゾーンに戻す」でバトルゾーンに戻ったカードが持つ「これが登場した時」という誘発条件の誘発型効果は誘発する。"
カウンター,カウンターは場にあるカードやプレイヤーの上に何らかのマーカーとして置かれる。場にある、カウンターを置かれたカードが場から離れた場合、カウンターはすべて取り除かれる。
ターン終了時まで,効果が適用された瞬間～ターンが終了するまで。
このターン,このターンの間すべて。「このターン～」を持つ効果が適用される前の行動なども含む。
能力語,能力語とは、似た機能のカードを１つにまとめて表現するために使われる機構。同じメカニズムを持つカードの動きを分かりやすくする、といった役割のために作られたものである。
キーワード能力,キーワード能力は、カードが持つ能力のうち、よく使われるメカニズムなどを短いキーワードでまとめたもの。
カードタイプ(タイプ),"カード・タイプはカードの性質の一つであり、ほとんどのユニットは１つ以上のカード・タイプを持つ。 
カード・タイプ自体は特別なルールを持たないが、特定のカード・タイプにだけ影響する効果によってゲーム上の意味を持つ。
カード・タイプ名は完全一致していないかぎり、別のタイプである。"
エピック・ルール,"カードタイプ・エピックを持つカードは、自分のバトルゾーンに１枚しか置けない。エピック・カードはそうでないカードよりも強い傾向にある。
プレイヤーが同じ名前のエピック・カードを２つ以上コントロールしている状態になった時、即座にそのプレイヤーはその中から１つを選び、残りはその持ち主の墓地に置かれる。この時、効果を発動/起動するタイミングは存在しない。
墓地に置かれるのは破壊されることでも生け贄に捧げることでもない。不壊ではエピック・カードの重複で墓地に置かれてしまう事を妨げない。
制約はバトルゾーンのみであり、バトルゾーンに出ていない分には関係がない。制限カードでない限りデッキに３枚４枚と入れるのは自由であり、手札に複数来てしまっても捨てなければならないといったことは無い。"
(Φ),(Φ)はライフ・コア・マークと呼ばれ、指定の色(コア・マークの背景の色)コア１点か、２点のライフで支払う事ができる。
ダメージを与える/ダメージを受ける,プレイヤーのライフまたはユニットのＨＰを減らす。
ライフを支払う,コストのひとつ。ライフの支払いは、プレイヤーのライフから指示された値のライフを差し引く。ライフの支払いはダメージではないので、軽減はできない。
ライフを失う,"ライフが減る事を全般。ライフが現在の値より少なくなった場合、その原因が何であろうと「ライフを失った」とみなす。
ダメージを受けることでライフが減ることもライフを失うことに含まれるが、ライフを失う効果はダメージではないので軽減はできない。"
召喚酔い,ターンの開始時にあなたのコントロール下になかったユニットは、次の相手のターンが終わるまで、攻撃できず、起動コストに疲労コストを含む起動能力も起動できない（召喚酔い）。
状況起因処理,特定の条件を満たすたびに自動的に適用される処理のこと。